,protein,dna,shell
0,0.18,0.44,E
1,0.18,0.52,E
2,0.18,0.6,E
3,0.18,0.68,E
4,0.18,0.76,E
5,0.18,0.84,N
6,0.18,0.92,N
7,0.18,1,Y
8,0.24,0.44,N
9,0.24,0.52,N
10,0.24,0.6,N
11,0.24,0.68,N
12,0.24,0.76,Y
13,0.24,0.84,Y
14,0.24,0.92,Y
15,0.24,1,Y
16,0.3,0.44,N
17,0.3,0.52,N
18,0.3,0.6,N
19,0.3,0.68,N
20,0.3,0.76,Y
21,0.3,0.84,Y
22,0.3,0.92,Y
23,0.3,1,Y
24,0.36,0.44,N
25,0.36,0.52,N
26,0.36,0.6,N
27,0.36,0.68,Y
28,0.36,0.76,Y
29,0.36,0.84,Y
30,0.36,0.92,Y
31,0.36,1,Y
32,0.42,0.44,N
33,0.42,0.52,N
34,0.42,0.6,Y
35,0.42,0.68,Y
36,0.42,0.76,Y
37,0.42,0.84,Y
38,0.42,0.92,Y
39,0.42,1,Y
40,0.48,0.44,N
41,0.48,0.52,N
42,0.48,0.6,Y
43,0.48,0.68,Y
44,0.48,0.76,Y
45,0.48,0.84,Y
46,0.48,0.92,Y
47,0.48,1,Y
48,0.54,0.44,N
49,0.54,0.52,N
50,0.54,0.6,Y
51,0.54,0.68,Y
52,0.54,0.76,Y
53,0.54,0.84,Y
54,0.54,0.92,Y
55,0.54,1,Y
56,0.6,0.44,N
57,0.6,0.52,N
58,0.6,0.6,N
59,0.6,0.68,Y
60,0.6,0.76,Y
61,0.6,0.84,Y
62,0.6,0.92,Y
63,0.6,1,Y
64,0.66,0.44,N
65,0.66,0.52,N
66,0.66,0.6,N
67,0.66,0.68,N
68,0.66,0.76,Y
69,0.66,0.84,Y
70,0.66,0.92,Y
71,0.66,1,Y
